filename,zh-CN,en-US
thralert.wav,警告油门遥感不在最低,Throttle not at minimum
telemok.wav,回传恢复,Telemetry recovered
telemko.wav,回传丢失,Telemetry lost
swalert.wav,警告开关不在初始位置,Switch not at initial position
sensorko.wav,传感器丢失,Sensor lost
rssi_org.wav,射频信号弱,RF signal weak
rssi_red.wav,射频信号危险,RF signal critical
modelpwr.wav,接收机未关闭,Receiver still powered
lowbatt.wav,遥控器电压低,Radio battery low
inactiv.wav,警告长时间无操作,Inactivity warning
hello.wav,开机,Welcome
lowbat.wav,电池电压低,Battery low
armed.wav,已解锁,Armed
modesw.wav,模式切换,Mode switch
btmod.wav,蓝牙模式,Bluetooth mode
wifimd.wav,wifi 模式,WiFi mode
usbmod.wav,usb 模式,USB mode
wificon.wav,wifi 连接,WiFi connected
wifidcn.wav,wifi 断开,WiFi disconnected
btcon.wav,蓝牙连接,Bluetooth connected
btdcn.wav,蓝牙断开,Bluetooth disconnected
xboxmod.wav,xbox 模式,Xbox mode
fpvmod.wav,fpv 模式,FPV mode
rfmod.wav,射频模式,RF mode
mscmod.wav,U盘模式,USB Mass Storage
pasmod.wav,透穿调参模式,Passthrough mode
binding.wav,正在连接接收机,Binding receiver
bindfail.wav,连接失败,Binding failed
lock.wav,已锁定,Locked
